ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,179.0,179.0,92.0,92.0,92.0,128.0,156.0,185.0,214.0,214.0,222.0,254.0,337.0
2,309.0,309.0,176.0,176.0,185.0,185.0,233.0,288.0,406.0,516.0,516.0,516.0,528.0
3,317.0,255.0,222.0,222.0,222.0,266.0,368.0,430.0,430.0,470.0,470.0,470.0,470.0
4,184.0,289.0,66.0,68.0,69.0,69.0,69.0,69.0,114.0,187.0,289.0,289.0,362.0
5,376.0,357.0,229.0,229.0,256.0,267.0,311.0,384.0,534.0,567.0,600.0,679.0,736.0
6,313.0,338.0,186.0,190.0,194.0,212.0,252.0,276.0,342.0,482.0,560.0,626.0,667.0
7,352.0,364.0,216.0,216.0,240.0,250.0,260.0,314.0,386.0,544.0,638.0,676.0,735.0
8,476.0,479.0,256.0,256.0,270.0,277.0,318.0,515.0,622.0,719.0,719.0,826.0,865.0
9,424.0,540.0,185.0,189.0,190.0,208.0,208.0,316.0,412.0,494.0,695.0,780.0,941.0
10,573.0,567.0,325.0,329.0,341.0,394.0,458.0,600.0,783.0,877.0,954.0,954.0,1148.0
